search_name,search_location,metadata_id,metadata_status,metadata_json_endpoint,metadata_created_at,metadata_processed_at,metadata_google_jobs_url,metadata_raw_html_file,metadata_total_time_taken,parameters_q,parameters_engine,parameters_uule,parameters_google_domain,parameters_hl,parameters_gl,parameters_start
block-chain-1,USA,643db9ec224db12213cd421b,Success,https://serpapi.com/searches/a7e3d320a9075f00/643db9ec224db12213cd421b.json,2023-04-17 21:28:12 UTC,2023-04-17 21:28:12 UTC,https://www.google.com/search?q=block+chain&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=10,https://serpapi.com/searches/a7e3d320a9075f00/643db9ec224db12213cd421b.html,4.09,block chain,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,10
data-scientist-4,USA,643db97e5fc493f4ef82a469,Success,https://serpapi.com/searches/a980517c7e93b15a/643db97e5fc493f4ef82a469.json,2023-04-17 21:26:22 UTC,2023-04-17 21:26:22 UTC,https://www.google.com/search?q=data+scientist&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=40,https://serpapi.com/searches/a980517c7e93b15a/643db97e5fc493f4ef82a469.html,1.84,data scientist,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,40
natural-language-processing-1,USA,643db9f96073930b48d5359a,Success,https://serpapi.com/searches/6806a6ad5db11221/643db9f96073930b48d5359a.json,2023-04-17 21:28:25 UTC,2023-04-17 21:28:25 UTC,https://www.google.com/search?q=natural+language+processing&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=10,https://serpapi.com/searches/6806a6ad5db11221/643db9f96073930b48d5359a.html,2.5,natural language processing,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,10
reinforcement-learning-4,USA,643db9ce58762b07c185c1b1,Success,https://serpapi.com/searches/4355f1f2ab30af9b/643db9ce58762b07c185c1b1.json,2023-04-17 21:27:42 UTC,2023-04-17 21:27:42 UTC,https://www.google.com/search?q=reinforcement+learning&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=40,https://serpapi.com/searches/4355f1f2ab30af9b/643db9ce58762b07c185c1b1.html,2.69,reinforcement learning,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,40
neural-networks-4,USA,643db99ab7b1cc54dd45c12f,Success,https://serpapi.com/searches/1260623261e4e9be/643db99ab7b1cc54dd45c12f.json,2023-04-17 21:26:50 UTC,2023-04-17 21:26:50 UTC,https://www.google.com/search?q=neural+networks&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=40,https://serpapi.com/searches/1260623261e4e9be/643db99ab7b1cc54dd45c12f.html,0.69,neural networks,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,40
big-data-and-cloud-computing-3,USA,643db9a437b24aac2493bbb0,Success,https://serpapi.com/searches/853faefc00009e4a/643db9a437b24aac2493bbb0.json,2023-04-17 21:27:01 UTC,2023-04-17 21:27:01 UTC,https://www.google.com/search?q=big+data+and+cloud+computing&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=30,https://serpapi.com/searches/853faefc00009e4a/643db9a437b24aac2493bbb0.html,3.91,big data and cloud computing,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,30
data-analyst-0,USA,643db9804055aa518546783f,Success,https://serpapi.com/searches/062bb78422504e85/643db9804055aa518546783f.json,2023-04-17 21:26:24 UTC,2023-04-17 21:26:24 UTC,https://www.google.com/search?q=data+analyst&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=0,https://serpapi.com/searches/062bb78422504e85/643db9804055aa518546783f.html,3.2,data analyst,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,0
machine-learning-0,USA,643db9acf218016c6034aa41,Success,https://serpapi.com/searches/ab56f5f899b04ad4/643db9acf218016c6034aa41.json,2023-04-17 21:27:08 UTC,2023-04-17 21:27:08 UTC,https://www.google.com/search?q=machine+learning&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=0,https://serpapi.com/searches/ab56f5f899b04ad4/643db9acf218016c6034aa41.html,9.96,machine learning,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,0
machine-learning-1,USA,643db9b6f716eebe9e76be57,Success,https://serpapi.com/searches/dd05532699f8356a/643db9b6f716eebe9e76be57.json,2023-04-17 21:27:18 UTC,2023-04-17 21:27:18 UTC,https://www.google.com/search?q=machine+learning&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=10,https://serpapi.com/searches/dd05532699f8356a/643db9b6f716eebe9e76be57.html,1.24,machine learning,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,10
data-analyst-1,USA,643db9830a90c7096fee9571,Success,https://serpapi.com/searches/c94e8fd9c212e0bd/643db9830a90c7096fee9571.json,2023-04-17 21:26:27 UTC,2023-04-17 21:26:27 UTC,https://www.google.com/search?q=data+analyst&ibp=htl;jobs&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&hl=en&gl=us&start=10,https://serpapi.com/searches/c94e8fd9c212e0bd/643db9830a90c7096fee9571.html,6.09,data analyst,google_jobs,w+CAIQICINVW5pdGVkIFN0YXRlcw,google.com,en,us,10
